propId , label , description , aliases ,  type , count
P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),"party chief, communist party chief, party secretary, Communist Party Secretary",wikibase-item,28
P22,father,male parent,"dad, son of, has father, daughter of, child of",wikibase-item,43525
P237,coat of arms,subject's coat of arms,,wikibase-item,1677
P241,military branch,"the branch to which this military unit, award, or person belongs, e.g. Royal Navy","branch, formation, service branch",wikibase-item,27526
P248,stated in,"to be used in the source field, to indicate where a claim is made",source,wikibase-item,62
P25,mother,female parent,"mum, mom, mam, has mother, son of, daughter of, child of",wikibase-item,16945
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""cohabitant"" for non-married companions","husband, wife, married to, consort, partner",wikibase-item,31651
P263,official residence,the residence at which heads of government and other senior figures officially reside,,wikibase-item,305
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,label,wikibase-item,110151
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,"citizenship, nationality, citizen of",wikibase-item,1463056
P272,production company,"company that produced this film, audio or performing arts work","film studio, studio, motion picture studio, movie studio, production house, theatre company, theater company, theatrical troupe, ballet company, broadcasting company",wikibase-item,27287
P275,license,license under which this copyrighted work is released,licence,wikibase-item,3324
P276,location,"location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.","moveable object location, located in, event location, venue, is in, location of item",wikibase-item,217406
P277,programming language,the programming language(s) in which the software is developed,,wikibase-item,1241
P279,subclass of,all of these items are instances of those items; this item is a class of that item,"rdfs:subClassOf, hyponym of, is a, type of, is a type of, generalized by, generalization, superclass",wikibase-item,215089
P282,writing system,"alphabet, character set or other system of writing used by subject language",alphabet,wikibase-item,891
P286,team manager,"on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)","manager, club manager, head coach, senior coach",wikibase-item,2435
