propId , label , description , aliases ,  type , count
P914,USK rating,German video game content rating - see talk page for appropriate values,Unterhaltungssoftware Selbstkontrolle rating,wikibase-item,1714
P915,filming location,actual place where this scene/film was shot,"location of filming, location where filmed, studio where filmed, place of filming, place where filmed",wikibase-item,14572
P916,GSRR rating,Taiwanese video game content rating system,"CSRR rating, GSRMR rating",wikibase-item,9
P92,main regulatory text,text setting the main rules by which the subject is regulated,legally established by,wikibase-item,253
P921,main subject,primary topic of a work,"index term, topic of work, main topic, aboutness, about, topic, subject, subject heading",wikibase-item,20328
P923,medical examinations,examinations that might be used to diagnose the medical condition,"possible examinations, examinations",wikibase-item,51
P924,medical treatment,treatment that might be used to heal the medical condition,"therapy, medical therapy, treatment",wikibase-item,17
P927,anatomical location,where in the body does this anatomical feature lie,Manoo,wikibase-item,1
P930,type of electrification,electrification system scheme and/or voltage,,wikibase-item,3
P931,place served by airport,city or region served by this airport,"serves city, city served",wikibase-item,97
P937,location of creative working,location(s) where the creator was active,"workplace, work location",wikibase-item,40632
P941,inspired by,the work which inspired this creative work,source of inspiration,wikibase-item,425
P942,theme music,"the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)",,wikibase-item,22
P943,programmer,coder for a piece of software or a digital creative work such as a video game,,wikibase-item,96
P944,Code of nomenclature,the Code that governs the scientific name of this taxon,,wikibase-item,814
P945,allegiance,"the country (or other power) that the person, or organization, served",,wikibase-item,239
P97,noble title,royal or noble titles held by the person,"peerage, title",wikibase-item,4556
P970,neurological function,The function of a neurological structure,,wikibase-item,1
P971,category combines topics,this category combines these two or more topics,"Category intersects topics, Category topics, Category subjects, combines topics",wikibase-item,78467
P972,catalog,"catalogue for the item, or, as a qualifier of P528, catalogue for which the number is valid",catalogue,wikibase-item,860
P974,tributary,stream or river that flows into this main stem (or parent) river or a lake,,wikibase-item,405
P98,editor,editor of a compiled work such as a book or academic journal,,wikibase-item,1314
P991,successful candidate,person(s) elected after the election,elected person,wikibase-item,4109
P1646,mandatory qualifier,qualifier(s) that must be associated to statements using this property,,wikibase-property,45
P1647,subproperty of,all resources related by this property are also related that property.,"rdfs:subPropertyOf, subPropertyOf",wikibase-property,52
P1659,see also,used to indicate a property that might provide additional information about the subject,"rdfs:seeAlso, related property",wikibase-property,155
P1687,Wikidata property,main Wikidata property for this item,"property, main property",wikibase-property,127
P1696,inverse of,links a property to its inverse property,,wikibase-property,52
