Reference Item 	 Label 
Q118339	Otto Basler	1
Q11836865	Declaration of the USSR Council of the Republics regarding the establishment of the Commonwealth of Independent States	3
Q11837967	null	2
Q11845136	Lucy Torres	1
Q1185743	USS Thomas	2
Q11862321	Henrik Joakimsson Brand	1
Q11862954	null	1
Q11872383	null	1
Q1187508	National Theatre	2
Q11878	Brett J. Gladman	1
Q11878288	null	1
Q11878592	null	1
Q11878749	null	1
Q11879248	null	2
Q11879254	Erik Pardus	1
Q11880404	Maaria Wirkkala	2
Q11881187	null	1
Q1188461	Denkmalliste des Landes Rheinland-Pfalz	2
Q11884982	null	2
Q1188617	Online Etymology Dictionary	1
Q11891	James K. Polk	1
Q118952	Elsie Attenhofer	1
Q1190886	The Japan Times	1
Q11909882	null	1
Q11911231	null	1
Q1191233	Soga no Umako	1
Q11913	Bulgarian Wikipedia	14830
Q11913955	null	1
Q11916516	null	1
Q11917114	null	2
Q11918	Greek Wikipedia	19117
Q11920	Italian Wikipedia	1569507
Q11921	Portuguese Wikipedia	77549
Q11921282	Euripides	1
Q11922055	null	1
Q11925859	null	1
Q11927173	CRC Handbook of Chemistry and Physics (92nd edition)	20
Q11927593	null	1
Q11928945	null	1
Q11931253	null	1
Q11937099	null	1
Q1193807	Ministry of External Relations (Brazil)	3
Q1194038	GEOnet Names Server	4
Q1194944	Tokugawa Mitsukuni	1
Q11950458	Sudan Tribune	3
Q11957378	Alf Sommer	1
Q11958178	Anna Fiske	1
Q11958239	Anne Christiansen	1
Q1196752	traditional pop music	1
Q11970024	Christian Tønne Frederik von Lüttichau	1
Q11975025	Henrich Ibsen	1
Q11978833	Johanna Bugge Berge	1
Q1198151	Prelude to Dune	3
Q11984993	Monte Cassino: Ten Armies in Hell	2
Q11985162	Eva Krížiková	1
Q11985191	null	2
Q11985206	null	1
Q11985210	null	2
Q1198574	South China Morning Post	23
Q11985952	null	1
Q11986927	null	1
Q11989565	Ministry of Ecclesiastical Affairs	1
Q11991022	null	1
Q119918	Agnes of Hohenstaufen	1
Q12000278	null	1
Q12000509	Simen Sand	2
Q12000683	Sivert Heltne Nilsen	1
Q12002390	Věra Tichánková	1
Q12009218	null	1
Q12009815	Vilhelmine Ullman	1
Q12013	Google Maps	1045
Q12013228	null	1
Q1201471	Detlev von Ahlefeldt	1
Q12017469	null	1
